epoch	loss	acc	val_loss	val_acc
0	0.6930992757635457	0.5078125	0.6936043947935104	0.48125
1	0.6918709006692682	0.5161830357142857	0.6905142679810524	0.57578125
2	0.6870205035167081	0.5558035714285714	0.6696639269590378	0.56796875
3	0.6644087870206151	0.5990513392857143	0.6458653509616852	0.615625
4	0.6425167785159179	0.6314174107142857	0.6156256698071957	0.65390625
5	0.610345273943884	0.673828125	0.5833456940948963	0.70234375
6	0.5537423153540918	0.7279575892857143	0.5534938961267472	0.7453125
7	0.5235921423882246	0.7541852678571429	0.5020219087600708	0.77734375
8	0.5015255723680768	0.7692522321428571	0.5331171445548535	0.76796875
9	0.4993541222065687	0.7745535714285714	0.5301775388419628	0.759375
10	0.4719080986188991	0.7912946428571429	0.5219600908458233	0.7609375
11	0.4624205743893981	0.798828125	0.5153753615915775	0.76328125
12	0.4330028892893876	0.8111049107142857	0.5408747367560863	0.74765625
