epoch	loss	acc	val_loss	val_acc
0	0.6872432072247777	0.5111607142857143	0.6633145198225975	0.53359375
1	0.6419379594070571	0.6177455357142857	0.5929350525140762	0.71015625
2	0.5521346610039473	0.7366071428571429	0.5272985212504864	0.73359375
3	0.5131254260029111	0.765625	0.5287282437086105	0.73671875
4	0.4691264469708715	0.7935267857142857	0.5172521337866783	0.74921875
5	0.4665206489818437	0.8010602678571429	0.4909898839890957	0.7734375
6	0.45340733070458683	0.80859375	0.5386203825473785	0.78046875
7	0.44383641611784697	0.8069196428571429	0.567811319977045	0.76015625
8	0.4313474824385984	0.81640625	0.5034128878265619	0.78125
9	0.41464216874114107	0.8225446428571429	0.5319034844636917	0.7609375
10	0.39779349642672707	0.8345424107142857	0.4874278850853443	0.78125
11	0.40212002942072494	0.8325892857142857	0.4627000316977501	0.81953125
12	0.3839221466332674	0.845703125	0.5325490742921829	0.7875
13	0.3754170262920005	0.8532366071428571	0.490836364030838	0.7625
14	0.3474377130291292	0.8618861607142857	0.47415371909737586	0.81328125
15	0.3260593661107123	0.8741629464285714	0.4732957869768143	0.80859375
